wellName,datasetName,Depth,AC,CAL,CNL,DEN,GR,RT,RXO
,,M,us/ft,in,%,g/cm3,API,ohm.m,ohm.m
Ags2,wire-cg,3145,54.84799957,8.68599987,7.921000004,2.690999985,53.92300034,76.6309967,70.95300293
Ags2,wire-cg,3146,65.528769,8.593595,7.504004,2.582808,78.503961,75.808986,50.460938
Ags2,wire-cg,3147,62.186952,8.758707,11.703519,2.519913,61.755589,61.051412,62.513578
Ags2,wire-cg,3148,53.312181,8.545945,13.296504,2.791446,70.418782,85.867356,70.414077
Ags2,wire-cg,3149,52.041159,9.479803,9.212257,2.503174,53.047885,87.642963,75.593490
Ags2,wire-cg,3150,64.648490,8.632238,8.442504,2.562234,71.082833,77.426938,56.574635
Ags2,wire-cg,3151,57.976996,8.984744,13.596660,2.783711,66.087967,54.213051,64.889157
Ags2,wire-cg,3152,63.603055,8.959064,13.596660,2.697119,70.173369,65.591582,59.335274
Ags2,wire-cg,3153,52.141868,8.779960,10.705767,2.726944,53.290710,91.270600,81.618457
Ags2,wire-cg,3154,65.878556,9.206877,5.714065,2.728037,53.290710,71.493234,62.925768
Ags2,wire-cg,3155,64.988371,9.410523,13.865242,2.614920,51.682621,71.493234,66.673761
